"";"DRS";"UTI_adulto_1";"UTI_adulto_2";"UTI_adulto_3";"UTI_adulto_4";"UTI_adulto_0";"UTI_adulto_total";"UTI_ped_1";"UTI_ped_2";"UTI_ped_3";"UTI_ped_4";"UTI_ped_total";"data"
"568";"DRS VII - CAMPINAS";14;13;7;NA;NA;34;NA;NA;NA;NA;NA;2021-04-27
"569";"DRS VIII - FRANCA";NA;3;5;1;NA;9;NA;NA;NA;NA;NA;2021-04-27
"570";"DRS IX - MARÍLIA";NA;13;9;1;NA;23;NA;NA;NA;NA;NA;2021-04-27
"571";"DRS X - PIRACICABA";8;6;4;NA;NA;18;NA;NA;NA;NA;NA;2021-04-27
"572";"DRS XI - PRESIDENTE PRUDENTE";1;10;2;NA;NA;13;NA;NA;NA;NA;NA;2021-04-27
"573";"DRS XII - REGISTRO";NA;1;1;NA;NA;2;NA;NA;NA;NA;NA;2021-04-27
"574";"DRS XIII - RIBEIRÃO PRETO";NA;8;5;3;NA;16;NA;NA;NA;NA;NA;2021-04-27
"575";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;1;2;NA;NA;3;NA;NA;NA;NA;NA;2021-04-27
"576";"DRS XV - SÃO JOSÉ DO RIO PRETO";1;34;25;6;NA;66;NA;NA;NA;NA;NA;2021-04-27
"577";"DRS XVI - SOROCABA";1;10;7;12;NA;30;NA;NA;NA;NA;NA;2021-04-27
"578";"DRS XVII - TAUBATÉ";1;19;16;5;NA;41;NA;NA;NA;NA;NA;2021-04-27
"579";"DRS I - GRANDE SÃO PAULO";21;35;11;6;5;78;NA;NA;NA;NA;NA;2021-04-28
"580";"DRS II - ARAÇATUBA";NA;7;5;1;NA;13;NA;NA;NA;NA;NA;2021-04-28
"581";"DRS III - ARARAQUARA";NA;9;5;5;1;20;NA;NA;NA;NA;NA;2021-04-28
"582";"DRS IV - BAIXADA SANTISTA";NA;1;2;NA;NA;3;NA;NA;NA;NA;NA;2021-04-28
"583";"DRS V - BARRETOS";NA;8;14;2;NA;24;NA;NA;NA;NA;NA;2021-04-28
"584";"DRS VI - BAURU";NA;11;1;3;NA;15;NA;NA;NA;NA;NA;2021-04-28
"585";"DRS VII - CAMPINAS";9;14;6;3;NA;32;NA;NA;NA;NA;NA;2021-04-28
"586";"DRS VIII - FRANCA";NA;4;5;NA;NA;9;NA;NA;NA;NA;NA;2021-04-28
"587";"DRS IX - MARÍLIA";NA;16;4;NA;NA;20;NA;NA;NA;NA;NA;2021-04-28
"588";"DRS X - PIRACICABA";2;4;4;1;NA;11;NA;NA;NA;NA;NA;2021-04-28
"589";"DRS XI - PRESIDENTE PRUDENTE";1;7;3;NA;NA;11;NA;NA;NA;NA;NA;2021-04-28
"590";"DRS XII - REGISTRO";NA;1;2;1;NA;4;NA;NA;NA;NA;NA;2021-04-28
"591";"DRS XIII - RIBEIRÃO PRETO";NA;5;5;2;NA;12;NA;NA;NA;NA;NA;2021-04-28
"592";"DRS XIV - SÃO JOÃO DA BOA VISTA";1;4;1;NA;NA;6;NA;NA;NA;NA;NA;2021-04-28
