"";"DRS";"UTI_adulto_1";"UTI_adulto_2";"UTI_adulto_3";"UTI_adulto_4";"UTI_adulto_0";"UTI_adulto_total";"UTI_ped_1";"UTI_ped_2";"UTI_ped_3";"UTI_ped_4";"UTI_ped_total";"data"
"709";"DRS XII - REGISTRO";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2021-05-05
"710";"DRS XIII - RIBEIRÃO PRETO";3;9;10;2;NA;24;NA;NA;NA;NA;NA;2021-05-05
"711";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;1;4;1;NA;6;NA;NA;NA;NA;NA;2021-05-05
"712";"DRS XV - SÃO JOSÉ DO RIO PRETO";2;33;20;2;NA;57;NA;NA;NA;NA;NA;2021-05-05
"713";"DRS XVI - SOROCABA";1;11;8;7;NA;27;NA;NA;NA;NA;NA;2021-05-05
"714";"DRS XVII - TAUBATÉ";1;13;17;5;4;40;NA;NA;NA;NA;NA;2021-05-05
"715";"DRS I - GRANDE SÃO PAULO";15;35;9;6;4;69;NA;NA;NA;NA;NA;2021-05-06
"716";"DRS II - ARAÇATUBA";1;3;3;NA;NA;7;NA;NA;NA;NA;NA;2021-05-06
"717";"DRS III - ARARAQUARA";NA;8;6;4;NA;18;NA;NA;NA;NA;NA;2021-05-06
"718";"DRS IV - BAIXADA SANTISTA";NA;NA;2;NA;NA;2;NA;NA;NA;NA;NA;2021-05-06
"719";"DRS V - BARRETOS";NA;5;13;4;NA;22;NA;NA;NA;NA;NA;2021-05-06
"720";"DRS VI - BAURU";NA;10;3;4;NA;17;NA;NA;NA;NA;NA;2021-05-06
"721";"DRS VII - CAMPINAS";2;10;3;2;NA;17;NA;NA;NA;NA;NA;2021-05-06
"722";"DRS VIII - FRANCA";1;10;6;NA;NA;17;NA;NA;NA;NA;NA;2021-05-06
"723";"DRS IX - MARÍLIA";NA;23;6;1;NA;30;NA;NA;NA;NA;NA;2021-05-06
"724";"DRS X - PIRACICABA";6;13;NA;3;1;23;NA;NA;NA;NA;NA;2021-05-06
"725";"DRS XI - PRESIDENTE PRUDENTE";NA;3;1;NA;NA;4;NA;NA;NA;NA;NA;2021-05-06
"726";"DRS XII - REGISTRO";NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;2021-05-06
"727";"DRS XIII - RIBEIRÃO PRETO";1;11;NA;NA;1;13;NA;NA;NA;NA;NA;2021-05-06
"728";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;1;3;1;NA;5;NA;NA;NA;NA;NA;2021-05-06
"729";"DRS XV - SÃO JOSÉ DO RIO PRETO";NA;22;24;1;NA;47;NA;NA;NA;NA;NA;2021-05-06
"730";"DRS XVI - SOROCABA";1;10;10;2;NA;23;NA;NA;NA;NA;NA;2021-05-06
"731";"DRS XVII - TAUBATÉ";NA;14;11;2;1;28;NA;NA;NA;NA;NA;2021-05-06
"732";"DRS I - GRANDE SÃO PAULO";15;27;11;5;2;60;NA;NA;NA;NA;NA;2021-05-07
"733";"DRS II - ARAÇATUBA";3;3;2;NA;NA;8;NA;NA;NA;NA;NA;2021-05-07
"734";"DRS III - ARARAQUARA";1;4;4;4;NA;13;NA;NA;NA;NA;NA;2021-05-07
"735";"DRS IV - BAIXADA SANTISTA";NA;1;1;NA;NA;2;NA;NA;NA;NA;NA;2021-05-07
"736";"DRS V - BARRETOS";NA;6;7;5;NA;18;NA;NA;NA;NA;NA;2021-05-07
"737";"DRS VI - BAURU";NA;5;3;1;NA;9;NA;NA;NA;NA;NA;2021-05-07
"738";"DRS VII - CAMPINAS";4;7;3;2;NA;16;NA;NA;NA;NA;NA;2021-05-07
"739";"DRS VIII - FRANCA";1;12;9;1;1;24;NA;NA;NA;NA;NA;2021-05-07
"740";"DRS IX - MARÍLIA";NA;21;18;2;NA;41;NA;NA;NA;NA;NA;2021-05-07
"741";"DRS X - PIRACICABA";4;9;2;4;NA;19;NA;NA;NA;NA;NA;2021-05-07
"742";"DRS XI - PRESIDENTE PRUDENTE";NA;2;2;NA;NA;4;NA;NA;NA;NA;NA;2021-05-07
"743";"DRS XII - REGISTRO";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2021-05-07
"744";"DRS XIII - RIBEIRÃO PRETO";1;12;2;NA;NA;15;NA;NA;NA;NA;NA;2021-05-07
"745";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;NA;4;NA;NA;4;NA;NA;NA;NA;NA;2021-05-07
"746";"DRS XV - SÃO JOSÉ DO RIO PRETO";NA;19;22;2;1;44;NA;NA;NA;NA;NA;2021-05-07
"747";"DRS XVI - SOROCABA";NA;5;11;3;NA;19;NA;NA;NA;NA;NA;2021-05-07
"748";"DRS XVII - TAUBATÉ";NA;17;7;1;2;27;NA;NA;NA;NA;NA;2021-05-07
"749";"DRS I - GRANDE SÃO PAULO";14;21;12;8;4;59;NA;NA;NA;1;1;2021-05-08
"750";"DRS II - ARAÇATUBA";2;2;4;NA;NA;8;NA;NA;NA;NA;NA;2021-05-08
"751";"DRS III - ARARAQUARA";1;3;6;2;NA;12;NA;NA;NA;NA;NA;2021-05-08
"752";"DRS IV - BAIXADA SANTISTA";NA;4;2;NA;NA;6;NA;NA;NA;NA;NA;2021-05-08
"753";"DRS V - BARRETOS";NA;3;11;5;NA;19;NA;NA;NA;NA;NA;2021-05-08
"754";"DRS VI - BAURU";NA;2;2;NA;NA;4;NA;NA;NA;NA;NA;2021-05-08
"755";"DRS VII - CAMPINAS";8;1;6;1;NA;16;NA;NA;NA;NA;NA;2021-05-08
"756";"DRS VIII - FRANCA";NA;14;8;3;NA;25;NA;NA;NA;NA;NA;2021-05-08
"757";"DRS IX - MARÍLIA";NA;19;19;3;1;42;NA;NA;NA;NA;NA;2021-05-08
"758";"DRS X - PIRACICABA";4;7;7;2;NA;20;1;NA;NA;NA;1;2021-05-08
"759";"DRS XI - PRESIDENTE PRUDENTE";NA;1;1;1;NA;3;NA;NA;NA;NA;NA;2021-05-08
"760";"DRS XII - REGISTRO";NA;NA;3;NA;NA;3;NA;NA;NA;NA;NA;2021-05-08
"761";"DRS XIII - RIBEIRÃO PRETO";1;9;8;NA;NA;18;NA;NA;NA;NA;NA;2021-05-08
"762";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;2;5;NA;NA;7;NA;NA;NA;NA;NA;2021-05-08
"763";"DRS XV - SÃO JOSÉ DO RIO PRETO";NA;23;22;4;NA;49;NA;NA;NA;NA;NA;2021-05-08
"764";"DRS XVI - SOROCABA";1;5;16;3;NA;25;NA;NA;NA;NA;NA;2021-05-08
"765";"DRS XVII - TAUBATÉ";NA;17;16;1;1;35;NA;NA;NA;NA;NA;2021-05-08
"766";"DRS I - GRANDE SÃO PAULO";9;31;13;3;8;64;NA;1;NA;NA;1;2021-05-09
"767";"DRS II - ARAÇATUBA";2;1;4;NA;NA;7;NA;NA;NA;NA;NA;2021-05-09
"768";"DRS III - ARARAQUARA";NA;1;4;2;NA;7;NA;NA;NA;NA;NA;2021-05-09
"769";"DRS IV - BAIXADA SANTISTA";NA;4;NA;NA;NA;4;NA;NA;NA;NA;NA;2021-05-09
"770";"DRS V - BARRETOS";NA;3;12;5;NA;20;NA;NA;NA;NA;NA;2021-05-09
"771";"DRS VI - BAURU";NA;2;10;NA;NA;12;NA;NA;NA;NA;NA;2021-05-09
"772";"DRS VII - CAMPINAS";3;3;6;1;NA;13;NA;NA;NA;NA;NA;2021-05-09
"773";"DRS VIII - FRANCA";NA;13;7;4;NA;24;NA;NA;NA;NA;NA;2021-05-09
"774";"DRS IX - MARÍLIA";1;17;24;3;NA;45;NA;NA;NA;NA;NA;2021-05-09
"775";"DRS X - PIRACICABA";4;8;13;2;NA;27;NA;NA;NA;NA;NA;2021-05-09
"776";"DRS XI - PRESIDENTE PRUDENTE";NA;2;4;1;NA;7;NA;NA;NA;NA;NA;2021-05-09
"777";"DRS XII - REGISTRO";NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;2021-05-09
"778";"DRS XIII - RIBEIRÃO PRETO";1;11;13;NA;NA;25;NA;NA;NA;NA;NA;2021-05-09
"779";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;2;6;NA;NA;8;NA;NA;NA;NA;NA;2021-05-09
"780";"DRS XV - SÃO JOSÉ DO RIO PRETO";NA;21;28;5;NA;54;NA;NA;NA;NA;NA;2021-05-09
"781";"DRS XVI - SOROCABA";NA;4;18;3;NA;25;NA;NA;NA;NA;NA;2021-05-09
"782";"DRS XVII - TAUBATÉ";NA;8;12;NA;2;22;NA;NA;NA;NA;NA;2021-05-09
"783";"DRS I - GRANDE SÃO PAULO";10;55;12;3;1;81;NA;1;NA;NA;1;2021-05-10
"784";"DRS II - ARAÇATUBA";NA;2;4;NA;NA;6;NA;NA;NA;NA;NA;2021-05-10
"785";"DRS III - ARARAQUARA";NA;5;5;3;NA;13;NA;NA;NA;NA;NA;2021-05-10
"786";"DRS IV - BAIXADA SANTISTA";NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;2021-05-10
"787";"DRS V - BARRETOS";NA;8;11;3;1;23;NA;NA;NA;NA;NA;2021-05-10
"788";"DRS VI - BAURU";NA;7;4;NA;NA;11;NA;NA;NA;NA;NA;2021-05-10
"789";"DRS VII - CAMPINAS";4;6;2;NA;NA;12;NA;NA;NA;NA;NA;2021-05-10
"790";"DRS VIII - FRANCA";NA;13;6;3;NA;22;NA;NA;NA;NA;NA;2021-05-10
"791";"DRS IX - MARÍLIA";NA;19;22;NA;NA;41;NA;NA;NA;NA;NA;2021-05-10
"792";"DRS X - PIRACICABA";3;7;15;1;NA;26;NA;NA;NA;NA;NA;2021-05-10
"793";"DRS XI - PRESIDENTE PRUDENTE";NA;4;1;1;NA;6;NA;NA;NA;NA;NA;2021-05-10
"794";"DRS XII - REGISTRO";NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;2021-05-10
"795";"DRS XIII - RIBEIRÃO PRETO";3;12;12;NA;NA;27;NA;NA;NA;NA;NA;2021-05-10
"796";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;4;4;NA;NA;8;NA;NA;NA;NA;NA;2021-05-10
"797";"DRS XV - SÃO JOSÉ DO RIO PRETO";NA;29;26;3;NA;58;NA;NA;NA;NA;NA;2021-05-10
"798";"DRS XVI - SOROCABA";NA;12;8;6;NA;26;NA;NA;NA;NA;NA;2021-05-10
"799";"DRS XVII - TAUBATÉ";NA;6;13;1;NA;20;NA;NA;NA;NA;NA;2021-05-10
"800";"DRS I - GRANDE SÃO PAULO";8;45;12;8;9;82;NA;NA;NA;NA;NA;2021-05-11
"801";"DRS II - ARAÇATUBA";NA;2;1;NA;NA;3;NA;NA;NA;NA;NA;2021-05-11
"802";"DRS III - ARARAQUARA";NA;5;4;2;NA;11;NA;NA;NA;NA;NA;2021-05-11
"803";"DRS IV - BAIXADA SANTISTA";NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;2021-05-11
"804";"DRS V - BARRETOS";NA;10;9;9;NA;28;NA;NA;NA;NA;NA;2021-05-11
"805";"DRS VI - BAURU";NA;10;6;5;NA;21;NA;NA;NA;NA;NA;2021-05-11
"806";"DRS VII - CAMPINAS";1;6;3;NA;NA;10;NA;NA;NA;NA;NA;2021-05-11
"807";"DRS VIII - FRANCA";NA;16;15;4;1;36;NA;NA;NA;NA;NA;2021-05-11
"808";"DRS IX - MARÍLIA";1;20;13;3;NA;37;NA;NA;NA;NA;NA;2021-05-11
"809";"DRS X - PIRACICABA";3;13;13;2;2;33;NA;NA;NA;NA;NA;2021-05-11
"810";"DRS XI - PRESIDENTE PRUDENTE";NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA;2021-05-11
"811";"DRS XII - REGISTRO";NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;2021-05-11
"812";"DRS XIII - RIBEIRÃO PRETO";NA;12;11;1;NA;24;NA;NA;NA;NA;NA;2021-05-11
"813";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;4;3;NA;NA;7;NA;NA;NA;NA;NA;2021-05-11
"814";"DRS XV - SÃO JOSÉ DO RIO PRETO";NA;33;9;2;NA;44;NA;NA;NA;NA;NA;2021-05-11
"815";"DRS XVI - SOROCABA";NA;17;7;8;NA;32;NA;NA;NA;NA;NA;2021-05-11
"816";"DRS XVII - TAUBATÉ";NA;5;11;3;NA;19;NA;NA;NA;NA;NA;2021-05-11
"817";"DRS I - GRANDE SÃO PAULO";14;34;13;10;2;73;NA;NA;NA;NA;NA;2021-05-12
"818";"DRS II - ARAÇATUBA";NA;NA;1;1;NA;2;NA;NA;NA;NA;NA;2021-05-12
"819";"DRS III - ARARAQUARA";NA;5;6;1;1;13;NA;NA;NA;NA;NA;2021-05-12
"820";"DRS IV - BAIXADA SANTISTA";NA;1;3;NA;NA;4;NA;NA;NA;NA;NA;2021-05-12
"821";"DRS V - BARRETOS";1;12;11;8;NA;32;NA;NA;NA;NA;NA;2021-05-12
"822";"DRS VI - BAURU";NA;9;10;5;NA;24;NA;NA;NA;NA;NA;2021-05-12
"823";"DRS VII - CAMPINAS";1;9;1;1;NA;12;1;NA;NA;NA;1;2021-05-12
"824";"DRS VIII - FRANCA";NA;19;14;3;NA;36;NA;NA;NA;1;1;2021-05-12
"825";"DRS IX - MARÍLIA";NA;21;20;3;NA;44;NA;NA;NA;NA;NA;2021-05-12
"826";"DRS X - PIRACICABA";7;14;11;NA;1;33;NA;NA;NA;NA;NA;2021-05-12
"827";"DRS XI - PRESIDENTE PRUDENTE";NA;3;NA;NA;NA;3;NA;NA;NA;NA;NA;2021-05-12
"828";"DRS XII - REGISTRO";NA;1;NA;NA;NA;1;NA;NA;NA;NA;NA;2021-05-12
"829";"DRS XIII - RIBEIRÃO PRETO";1;11;7;1;NA;20;NA;NA;NA;NA;NA;2021-05-12
"830";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;4;5;NA;NA;9;NA;NA;NA;NA;NA;2021-05-12
"831";"DRS XV - SÃO JOSÉ DO RIO PRETO";NA;31;20;4;NA;55;NA;NA;NA;NA;NA;2021-05-12
"832";"DRS XVI - SOROCABA";1;16;9;11;NA;37;NA;NA;NA;NA;NA;2021-05-12
"833";"DRS XVII - TAUBATÉ";NA;7;13;4;1;25;NA;NA;NA;NA;NA;2021-05-12
"834";"DRS I - GRANDE SÃO PAULO";15;38;16;11;3;83;NA;1;NA;NA;1;2021-05-13
"835";"DRS II - ARAÇATUBA";NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;2021-05-13
"836";"DRS III - ARARAQUARA";NA;2;6;1;NA;9;NA;NA;NA;NA;NA;2021-05-13
"837";"DRS IV - BAIXADA SANTISTA";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2021-05-13
"838";"DRS V - BARRETOS";NA;12;12;9;NA;33;NA;NA;NA;NA;NA;2021-05-13
"839";"DRS VI - BAURU";NA;9;5;3;NA;17;NA;NA;NA;NA;NA;2021-05-13
"840";"DRS VII - CAMPINAS";3;6;NA;1;NA;10;NA;NA;NA;NA;NA;2021-05-13
"841";"DRS VIII - FRANCA";NA;17;11;1;NA;29;NA;NA;NA;1;1;2021-05-13
"842";"DRS IX - MARÍLIA";1;22;19;4;NA;46;NA;NA;NA;NA;NA;2021-05-13
"843";"DRS X - PIRACICABA";8;15;10;NA;NA;33;NA;NA;NA;NA;NA;2021-05-13
"844";"DRS XI - PRESIDENTE PRUDENTE";NA;5;NA;1;4;10;NA;NA;NA;NA;NA;2021-05-13
"845";"DRS XII - REGISTRO";NA;NA;NA;1;NA;1;NA;NA;NA;NA;NA;2021-05-13
"846";"DRS XIII - RIBEIRÃO PRETO";NA;11;5;2;NA;18;NA;NA;NA;NA;NA;2021-05-13
"847";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;5;5;NA;NA;10;NA;NA;NA;NA;NA;2021-05-13
"848";"DRS XV - SÃO JOSÉ DO RIO PRETO";NA;38;22;7;NA;67;NA;NA;NA;NA;NA;2021-05-13
"849";"DRS XVI - SOROCABA";6;16;11;8;NA;41;NA;NA;NA;NA;NA;2021-05-13
"850";"DRS XVII - TAUBATÉ";NA;12;11;3;NA;26;NA;NA;NA;NA;NA;2021-05-13
"851";"DRS I - GRANDE SÃO PAULO";18;26;14;14;1;73;1;1;NA;2;NA;2021-05-14
"852";"DRS II - ARAÇATUBA";NA;1;1;NA;1;3;NA;NA;NA;NA;NA;2021-05-14
"853";"DRS III - ARARAQUARA";1;7;12;2;NA;22;NA;NA;NA;NA;NA;2021-05-14
"854";"DRS IV - BAIXADA SANTISTA";NA;1;1;1;NA;3;NA;NA;NA;NA;NA;2021-05-14
"855";"DRS V - BARRETOS";1;10;12;9;NA;32;NA;NA;NA;NA;NA;2021-05-14
"856";"DRS VI - BAURU";NA;8;5;NA;NA;13;NA;NA;NA;NA;NA;2021-05-14
"857";"DRS VII - CAMPINAS";1;8;5;1;NA;15;NA;NA;NA;NA;NA;2021-05-14
"858";"DRS VIII - FRANCA";NA;13;11;3;NA;27;NA;NA;NA;NA;NA;2021-05-14
"859";"DRS IX - MARÍLIA";1;9;17;4;NA;31;NA;NA;NA;NA;NA;2021-05-14
"860";"DRS X - PIRACICABA";4;13;9;1;NA;27;NA;NA;NA;NA;NA;2021-05-14
"861";"DRS XI - PRESIDENTE PRUDENTE";NA;NA;NA;1;1;2;NA;NA;NA;NA;NA;2021-05-14
"862";"DRS XII - REGISTRO";NA;NA;NA;2;NA;2;NA;NA;NA;NA;NA;2021-05-14
"863";"DRS XIII - RIBEIRÃO PRETO";NA;16;6;2;NA;24;NA;NA;NA;NA;NA;2021-05-14
"864";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;4;4;NA;NA;8;NA;NA;NA;NA;NA;2021-05-14
"865";"DRS XV - SÃO JOSÉ DO RIO PRETO";NA;38;25;8;NA;71;NA;NA;1;1;NA;2021-05-14
"866";"DRS XVI - SOROCABA";8;13;10;18;1;50;NA;NA;NA;NA;NA;2021-05-14
"867";"DRS XVII - TAUBATÉ";1;8;16;4;2;31;NA;NA;NA;NA;NA;2021-05-14
"868";"DRS I - GRANDE SÃO PAULO";19;34;17;9;3;82;NA;NA;NA;NA;NA;2021-05-15
"869";"DRS II - ARAÇATUBA";NA;2;NA;NA;NA;2;NA;NA;NA;NA;NA;2021-05-15
"870";"DRS III - ARARAQUARA";NA;7;15;4;NA;26;NA;NA;NA;NA;NA;2021-05-15
"871";"DRS IV - BAIXADA SANTISTA";NA;1;1;NA;NA;2;NA;NA;NA;NA;NA;2021-05-15
"872";"DRS V - BARRETOS";NA;13;19;4;NA;36;NA;NA;NA;NA;NA;2021-05-15
"873";"DRS VI - BAURU";NA;2;4;NA;NA;6;NA;NA;NA;NA;NA;2021-05-15
"874";"DRS VII - CAMPINAS";NA;10;3;3;NA;16;NA;NA;NA;NA;NA;2021-05-15
"875";"DRS VIII - FRANCA";NA;10;10;3;1;24;NA;NA;NA;NA;NA;2021-05-15
"876";"DRS IX - MARÍLIA";1;13;18;3;1;36;NA;NA;NA;NA;NA;2021-05-15
"877";"DRS X - PIRACICABA";4;13;11;2;1;31;NA;NA;NA;NA;NA;2021-05-15
"878";"DRS XI - PRESIDENTE PRUDENTE";NA;1;5;1;NA;7;NA;NA;NA;NA;NA;2021-05-15
"879";"DRS XII - REGISTRO";NA;NA;NA;3;NA;3;NA;NA;NA;NA;NA;2021-05-15
"880";"DRS XIII - RIBEIRÃO PRETO";NA;16;11;NA;1;28;NA;NA;NA;NA;NA;2021-05-15
"881";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;4;4;NA;NA;8;NA;NA;NA;NA;NA;2021-05-15
"882";"DRS XV - SÃO JOSÉ DO RIO PRETO";1;38;35;9;NA;83;NA;NA;1;NA;1;2021-05-15
"883";"DRS XVI - SOROCABA";4;14;7;10;NA;35;NA;NA;NA;NA;NA;2021-05-15
"884";"DRS XVII - TAUBATÉ";1;17;18;6;3;45;NA;NA;NA;NA;NA;2021-05-15
"885";"DRS I - GRANDE SÃO PAULO";16;40;20;7;1;84;NA;NA;NA;NA;NA;2021-05-16
"886";"DRS II - ARAÇATUBA";NA;2;NA;NA;NA;2;NA;NA;1;NA;1;2021-05-16
"887";"DRS III - ARARAQUARA";NA;7;15;4;1;27;NA;NA;NA;NA;NA;2021-05-16
"888";"DRS IV - BAIXADA SANTISTA";NA;2;1;NA;NA;3;NA;NA;NA;NA;NA;2021-05-16
"889";"DRS V - BARRETOS";NA;7;16;3;NA;26;NA;NA;NA;NA;NA;2021-05-16
"890";"DRS VI - BAURU";NA;5;6;1;NA;12;NA;NA;NA;NA;NA;2021-05-16
"891";"DRS VII - CAMPINAS";2;11;5;3;NA;21;NA;NA;NA;NA;NA;2021-05-16
"892";"DRS VIII - FRANCA";NA;12;13;3;NA;28;NA;NA;NA;NA;NA;2021-05-16
"893";"DRS IX - MARÍLIA";1;12;14;3;NA;30;NA;NA;NA;NA;NA;2021-05-16
"894";"DRS X - PIRACICABA";3;9;12;1;1;26;NA;NA;NA;NA;NA;2021-05-16
"895";"DRS XI - PRESIDENTE PRUDENTE";NA;2;6;2;NA;10;NA;NA;NA;NA;NA;2021-05-16
"896";"DRS XII - REGISTRO";NA;1;1;3;NA;5;NA;NA;NA;NA;NA;2021-05-16
"897";"DRS XIII - RIBEIRÃO PRETO";NA;15;11;NA;NA;26;NA;NA;NA;NA;NA;2021-05-16
"898";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;7;3;NA;NA;10;NA;NA;NA;NA;NA;2021-05-16
"899";"DRS XV - SÃO JOSÉ DO RIO PRETO";NA;36;30;7;NA;73;NA;NA;1;NA;1;2021-05-16
"900";"DRS XVI - SOROCABA";3;13;10;9;NA;35;NA;NA;NA;NA;NA;2021-05-16
"901";"DRS XVII - TAUBATÉ";NA;9;15;4;3;31;NA;NA;NA;NA;NA;2021-05-16
"902";"DRS I - GRANDE SÃO PAULO";16;55;17;8;8;104;NA;NA;NA;NA;NA;2021-05-17
"903";"DRS II - ARAÇATUBA";NA;2;3;NA;NA;5;NA;NA;1;NA;1;2021-05-17
"904";"DRS III - ARARAQUARA";NA;13;15;3;NA;31;NA;NA;NA;NA;NA;2021-05-17
"905";"DRS IV - BAIXADA SANTISTA";NA;2;NA;NA;NA;2;1;NA;NA;NA;1;2021-05-17
"906";"DRS V - BARRETOS";NA;11;19;4;1;35;NA;NA;NA;NA;NA;2021-05-17
"907";"DRS VI - BAURU";NA;3;4;NA;NA;7;NA;NA;NA;NA;NA;2021-05-17
"908";"DRS VII - CAMPINAS";3;14;5;2;NA;24;NA;NA;NA;NA;NA;2021-05-17
"909";"DRS VIII - FRANCA";2;10;15;4;1;32;NA;NA;NA;NA;NA;2021-05-17
"910";"DRS IX - MARÍLIA";2;19;13;4;NA;38;NA;NA;NA;NA;NA;2021-05-17
"911";"DRS X - PIRACICABA";4;18;10;1;2;35;NA;NA;NA;NA;NA;2021-05-17
"912";"DRS XI - PRESIDENTE PRUDENTE";NA;5;6;3;NA;14;NA;NA;NA;NA;NA;2021-05-17
"913";"DRS XII - REGISTRO";NA;NA;NA;3;1;4;NA;NA;NA;NA;NA;2021-05-17
"914";"DRS XIII - RIBEIRÃO PRETO";NA;13;9;NA;NA;22;NA;NA;NA;NA;NA;2021-05-17
"915";"DRS XIV - SÃO JOÃO DA BOA VISTA";NA;5;3;NA;NA;8;NA;NA;NA;NA;NA;2021-05-17
"916";"DRS XV - SÃO JOSÉ DO RIO PRETO";1;40;33;8;1;83;NA;1;NA;NA;1;2021-05-17
"917";"DRS XVI - SOROCABA";1;15;12;17;1;46;NA;NA;NA;NA;NA;2021-05-17
"918";"DRS XVII - TAUBATÉ";1;8;17;6;NA;32;NA;NA;NA;NA;NA;2021-05-17
"919";"DRS I - GRANDE SÃO PAULO";7;40;44;5;2;98;NA;NA;NA;1;1;2021-05-18
"920";"DRS II - ARAÇATUBA";NA;8;NA;NA;NA;8;NA;NA;1;NA;1;2021-05-18
"921";"DRS III - ARARAQUARA";1;14;12;NA;1;28;NA;NA;NA;NA;NA;2021-05-18
"922";"DRS IV - BAIXADA SANTISTA";NA;NA;1;NA;NA;1;NA;NA;NA;NA;NA;2021-05-18
"923";"DRS V - BARRETOS";2;24;19;1;1;47;NA;NA;NA;NA;NA;2021-05-18
"924";"DRS VI - BAURU";NA;4;3;NA;NA;7;NA;NA;NA;NA;NA;2021-05-18
"925";"DRS VII - CAMPINAS";3;14;9;2;3;31;NA;NA;NA;NA;NA;2021-05-18
"926";"DRS VIII - FRANCA";NA;28;6;NA;1;35;NA;NA;NA;NA;NA;2021-05-18
"927";"DRS IX - MARÍLIA";NA;1;15;15;2;33;NA;NA;NA;NA;NA;2021-05-18
"928";"DRS X - PIRACICABA";6;17;5;NA;1;29;NA;NA;NA;NA;NA;2021-05-18
"929";"DRS XI - PRESIDENTE PRUDENTE";NA;7;3;NA;1;11;NA;NA;NA;NA;NA;2021-05-18
"930";"DRS XII - REGISTRO";NA;3;NA;NA;NA;3;NA;NA;NA;NA;NA;2021-05-18
"931";"DRS XIII - RIBEIRÃO PRETO";1;20;5;NA;1;27;NA;NA;NA;NA;NA;2021-05-18
"932";"DRS XIV - SÃO JOÃO DA BOA VISTA";1;2;NA;NA;NA;3;NA;NA;NA;NA;NA;2021-05-18
"933";"DRS XV - SÃO JOSÉ DO RIO PRETO";16;54;20;1;1;92;NA;NA;1;NA;1;2021-05-18
"934";"DRS XVI - SOROCABA";6;28;9;NA;NA;44;NA;NA;NA;NA;NA;2021-05-18
"935";"DRS XVII - TAUBATÉ";3;22;14;NA;NA;39;NA;NA;NA;NA;NA;2021-05-18
"936";"DRS I - GRANDE SÃO PAULO";7;40;39;9;2;97;NA;NA;NA;NA;NA;2021-05-19
"937";"DRS II - ARAÇATUBA";1;7;NA;NA;NA;8;NA;NA;1;NA;1;2021-05-19
"938";"DRS III - ARARAQUARA";2;15;5;NA;NA;22;NA;NA;NA;NA;NA;2021-05-19
"939";"DRS IV - BAIXADA SANTISTA";NA;NA;3;NA;NA;3;NA;NA;NA;NA;NA;2021-05-19
"940";"DRS V - BARRETOS";4;27;17;2;NA;50;NA;NA;NA;NA;NA;2021-05-19
"941";"DRS VI - BAURU";NA;6;4;NA;NA;10;NA;NA;NA;NA;NA;2021-05-19
"942";"DRS VII - CAMPINAS";4;15;14;1;1;35;NA;NA;NA;NA;NA;2021-05-19
"943";"DRS VIII - FRANCA";1;28;7;NA;NA;36;NA;NA;NA;NA;NA;2021-05-19
"944";"DRS IX - MARÍLIA";NA;24;15;NA;3;42;NA;NA;NA;NA;NA;2021-05-19
"945";"DRS X - PIRACICABA";11;23;2;NA;NA;36;NA;NA;NA;NA;NA;2021-05-19
"946";"DRS XI - PRESIDENTE PRUDENTE";1;6;2;NA;NA;9;NA;NA;NA;NA;NA;2021-05-19
"947";"DRS XII - REGISTRO";NA;2;3;NA;NA;5;NA;NA;NA;NA;NA;2021-05-19
"948";"DRS XIII - RIBEIRÃO PRETO";2;24;1;NA;1;28;NA;NA;NA;NA;NA;2021-05-19
"949";"DRS XIV - SÃO JOÃO DA BOA VISTA";1;2;NA;NA;NA;3;NA;NA;NA;NA;NA;2021-05-19
"950";"DRS XV - SÃO JOSÉ DO RIO PRETO";18;59;16;NA;1;94;NA;NA;NA;NA;NA;2021-05-19
"951";"DRS XVI - SOROCABA";4;26;11;NA;NA;41;NA;NA;NA;NA;NA;2021-05-19
"952";"DRS XVII - TAUBATÉ";2;21;8;NA;NA;31;NA;NA;NA;NA;NA;2021-05-19
"953";"DRS I - GRANDE SÃO PAULO";4;36;44;6;1;91;NA;NA;NA;NA;NA;2021-05-20
